algo,N,M,distance,time_ms,mem_mb
hirschberg_trace,100,100,9,0.08086751000000003,1.3328102
hirschberg_pivot,100,100,9,0.13192794000000002,1.3510950000000006
hirschberg_trace,500,500,47,1.0524753199999999,1.5081265999999998
hirschberg_pivot,500,500,47,1.3207481999999997,1.5023469999999994
hirschberg_trace,1000,1000,79,3.9371668999999985,1.6575009999999994
hirschberg_pivot,1000,1000,79,6.112259300000001,1.765468799999999
hirschberg_trace,2000,2000,166,15.294472999999993,1.863125899999999
hirschberg_pivot,2000,2000,166,19.562256,2.1420323999999993
hirschberg_trace,5000,5000,401,93.94047699999999,2.0651562000000006
hirschberg_pivot,5000,5000,401,121.68953000000003,2.7887499000000004
hirschberg_trace,10000,10000,795,375.1139599999999,2.332344799999999
hirschberg_pivot,10000,10000,795,501.39264,3.3937503
hirschberg_trace,20000,20000,1529,1504.0933000000002,2.6234373000000004
hirschberg_pivot,20000,20000,1529,2978.9464999999987,4.279374800000001
hirschberg_trace,40000,40000,3041,6074.972600000001,3.0646877999999993
hirschberg_pivot,40000,40000,3041,8759.936899999999,4.905312799999999
hirschberg_trace,80000,80000,6006,24471.30100000001,3.955313499999999
hirschberg_pivot,80000,80000,6006,33507.97199999997,6.537500899999999
hirschberg_trace,160000,160000,12021,98460.71099999995,5.807969299999999
hirschberg_pivot,160000,160000,12021,158264.62,9.989998400000001
